Time,Vector,A_GSVM,Fall mag,Theta
3,9.519075346805119,-9.44786003209652,18.96693537890164,-89.326680576604
11,9.54075242153754,-9.461920720452454,19.002673141989995,-89.2563633575019
21,9.542954200670863,-9.474779590305396,19.01773379097626,-89.35704239967319
32,9.545882738741067,-9.451817870178747,18.997700608919814,-89.11314245080227
41,9.533709831343998,-9.448777143452409,18.98248697479641,-89.19821957606555
51,9.58177131285271,-9.48770647237745,19.069477785230163,-89.11646444416623
61,9.61525107953961,-9.525752379810069,19.141003459349676,-89.16228053651156
72,9.554899327293551,-9.488249919592844,19.043149246886394,-89.37221246529212
81,9.584192572746119,-9.490127734154424,19.074320306900542,-89.11668766993203
91,9.641377621574067,-9.55797025045845,19.19934787203252,-89.2214117426945
102,9.59621104566107,-9.502146216397795,19.098357262058865,-89.11779403418575
111,9.557443704666525,-9.481652752833162,19.03909645749969,-89.28629601431267
122,9.524053329766316,-9.443696384063452,18.967749713829768,-89.2406463022782
131,9.514158399010492,-9.450559367067626,18.964717766078117,-89.39837948509945
141,9.533884357163332,-9.441335048839592,18.975219406002925,-89.1263332512652
152,9.567496365280974,-9.470380927112975,19.03787729239395,-89.08644967278615
161,9.629349493892954,-9.550517833349804,19.17986732724276,-89.26320573852023
172,9.595625380666357,-9.528975984262367,19.124601364928722,-89.37487704673788
181,9.574218189049848,-9.499952465061135,19.074170654110983,-89.30188397349993
192,9.605483404733324,-9.522076014395559,19.127559419128882,-89.21850209780177
201,9.603187163054907,-9.518254515130781,19.12144167818569,-89.2040206877797
212,9.600846363680569,-9.514398181237995,19.115244544918564,-89.18961973506167
221,9.581323976858467,-9.510108683380555,19.091432660239022,-89.33105524575804
232,9.521781274750131,-9.435333044238192,18.957114318988324,-89.18289020493398
241,9.600574726938776,-9.52935943994311,19.12993416688189,-89.33239665208527
252,9.557810055198157,-9.465260764809393,19.02307082000755,-89.1285204364928
262,9.593556105177235,-9.507107918352078,19.100664023529312,-89.18900387625133
271,9.5980937669148,-9.528403685896674,19.126497452811474,-89.34652573271875
282,9.58152677671312,-9.501169859148908,19.08269663586203,-89.24520144343217
291,9.586350168887881,-9.504468013496224,19.090818182384105,-89.23126175703803
302,9.605602264307167,-9.523720118754008,19.129322383061176,-89.23280259821212
311,9.586197130523546,-9.511931411124735,19.09812854164828,-89.30275638453014
322,9.569505319125794,-9.48914839571786,19.058653714843654,-89.24425319120104
333,9.56929113889457,-9.499601048767047,19.068892187661618,-89.34455875357538
342,9.576747405975683,-9.4933400000931,19.070087406068783,-89.21615698825383
351,9.550428876472564,-9.46702145622961,19.017450332702175,-89.21399678287135
362,9.572000947310764,-9.487068281554135,19.0590692288649,-89.20142716656916
